Симптоми,Диагноза,Предотвратяване
"Безсъние, Болки в мускулите, Диария",Синдром на раздразнените черва,"Избягване на контакт със заразени лица, Приемане на лекарства по предписание"
"Настинка, Главоболие, Треска",Бронхит,"Избягване на прекомерна физическа активност, Редовни прегледи при лекар"
"Безсъние, Високо кръвно налягане, Хрема",Хранително отравяне,"Почивка и хидратация, Редовни прегледи при лекар"
"Задух, Настинка, Треска",Депресия,"Контрол на кръвната захар, Ваксинация"
"Отпадналост, Повръщане, Високо кръвно налягане",Хипертония,"Здравословен сън, Здравословна диета"
"Замаяност, Затруднено преглъщане, Кожен обрив",Псориазис,"Избягване на контакт със заразени лица, Ваксинация"
"Треска, Загуба на апетит, Диария",Хранително отравяне,"Избягване на алергени, Избягване на стрес"
"Кожен обрив, Треска, Сърцебиене",Анемия,"Здравословен сън, Добро обличане през зимата"
"Безсъние, Болки в мускулите, Загуба на апетит",Алергия,"Редовни прегледи при лекар, Здравословен сън"
"Болки в ставите, Кожен обрив, Безсъние",Грип,"Редовни физически упражнения, Приемане на лекарства по предписание"
"Загуба на апетит, Безсъние, Диария",Инфаркт,"Редовно проветряване на помещенията, Избягване на прекомерна употреба на алкохол"
"Замаяност, Кашлица, Отпадналост",Анемия,"Добро обличане през зимата, Здравословен сън"
"Настинка, Високо кръвно налягане, Замаяност",Анемия,"Избягване на алергени, Спиране на тютюнопушенето"
"Диария, Повръщане, Болки в ставите",Гастрит,"Редовни физически упражнения, Почивка и хидратация"
"Болка в гърлото, Хрема, Замаяност",Грип,"Редовни физически упражнения, Редовно проветряване на помещенията"
"Отпадналост, Болки в ставите, Хрема",Артрит,"Редовни прегледи при лекар, Контрол на кръвната захар"
"Треска, Задух, Болки в мускулите",Артрит,"Редовни физически упражнения, Избягване на контакт със заразени лица"
"Настинка, Отпадналост, Безсъние",Хепатит,"Редовни физически упражнения, Редовно проветряване на помещенията"
"Настинка, Безсъние, Отпадналост",Алергия,"Редовни физически упражнения, Ваксинация"
"Затруднено преглъщане, Стомашни болки, Безсъние",Псориазис,"Поддържане на нормално тегло, Избягване на алергени"
"Кашлица, Болка в гърлото, Загуба на апетит",Хипертония,"Избягване на прекомерна употреба на алкохол, Редовни прегледи при лекар"
"Настинка, Болка в гърлото, Повръщане",Гастрит,"Избягване на прекомерна употреба на алкохол, Избягване на контакт със заразени лица"
"Стомашни болки, Диария, Високо кръвно налягане",Гастрит,"Контрол на кръвната захар, Приемане на лекарства по предписание"
"Настинка, Треска, Сърцебиене",Грип,"Здравословна диета, Избягване на стрес"
"Настинка, Болки в ставите, Хрема",Синдром на раздразнените черва,"Избягване на прекомерна употреба на алкохол, Избягване на тежка храна"
"Повръщане, Загуба на апетит, Диария",Алергия,"Ваксинация, Често миене на ръце"
"Стомашни болки, Хрема, Болка в гърлото",Мигрена,"Здравословна диета, Избягване на стрес"
"Болки в ставите, Кашлица, Стомашни болки",Диабет,"Почивка и хидратация, Избягване на контакт със заразени лица"
"Затруднено преглъщане, Замаяност, Стомашни болки",Настинка,"Здравословна диета, Поддържане на нормално тегло"
"Болки в ставите, Треска, Кашлица",Депресия,"Избягване на стрес, Избягване на прекомерна употреба на алкохол"
"Болка в гърлото, Треска, Кожен обрив",Депресия,"Избягване на стрес, Почивка и хидратация"
"Загуба на апетит, Високо кръвно налягане, Кожен обрив",Анемия,"Здравословна диета, Избягване на алергени"
"Настинка, Хрема, Отпадналост",Астма,"Почивка и хидратация, Избягване на тежка храна"
"Болки в ставите, Настинка, Диария",Псориазис,"Ваксинация, Контрол на кръвната захар"
"Повръщане, Треска, Болка в гърлото",Менингит,"Здравословна диета, Контрол на кръвната захар"
"Хрема, Болки в мускулите, Затруднено преглъщане",Анемия,"Често миене на ръце, Избягване на прекомерна употреба на алкохол"
"Главоболие, Високо кръвно налягане, Отпадналост",Гастрит,"Избягване на прекомерна физическа активност, Често миене на ръце"
"Болка в гърлото, Главоболие, Болки в мускулите",Синдром на раздразнените черва,"Поддържане на нормално тегло, Избягване на тежка храна"
"Загуба на апетит, Болки в ставите, Диария",Мигрена,"Добро обличане през зимата, Избягване на стрес"
"Отпадналост, Диария, Затруднено преглъщане",Астма,"Контрол на кръвната захар, Приемане на лекарства по предписание"
"Хрема, Повръщане, Болки в ставите",Сърдечна недостатъчност,"Редовно проветряване на помещенията, Приемане на витамини"
"Болка в гърлото, Повръщане, Сърцебиене",Псориазис,"Редовни прегледи при лекар, Контрол на кръвната захар"
"Замаяност, Повръщане, Задух",Грип,"Приемане на витамини, Често миене на ръце"
"Хрема, Замаяност, Болки в мускулите",Грип,"Ваксинация, Поддържане на нормално тегло"
"Главоболие, Настинка, Треска",Грип,"Добро обличане през зимата, Редовни прегледи при лекар"
"Кашлица, Загуба на апетит, Диария",Хранително отравяне,"Избягване на прекомерна физическа активност, Избягване на тежка храна"
"Отпадналост, Задух, Болка в гърлото",Диабет,"Здравословна диета, Редовни прегледи при лекар"
"Болка в гърлото, Загуба на апетит, Треска",Хипертония,"Избягване на контакт със заразени лица, Редовни физически упражнения"
"Отпадналост, Треска, Високо кръвно налягане",Инфаркт,"Спиране на тютюнопушенето, Избягване на стрес"
"Загуба на апетит, Кашлица, Болка в гърлото",Хипертония,"Добро обличане през зимата, Често миене на ръце"
"Повръщане, Безсъние, Болки в мускулите",Гастрит,"Здравословна диета, Избягване на алергени"
"Затруднено преглъщане, Стомашни болки, Сърцебиене",Настинка,"Контрол на кръвната захар, Избягване на тежка храна"
"Болка в гърлото, Диария, Кожен обрив",Сърдечна недостатъчност,"Често миене на ръце, Здравословна диета"
"Сърцебиене, Високо кръвно налягане, Треска",Синдром на раздразнените черва,"Редовни прегледи при лекар, Контрол на кръвната захар"
"Повръщане, Стомашни болки, Замаяност",Артрит,"Добро обличане през зимата, Приемане на лекарства по предписание"
"Болки в мускулите, Хрема, Треска",Псориазис,"Здравословна диета, Избягване на тежка храна"
"Болки в ставите, Диария, Затруднено преглъщане",Псориазис,"Добро обличане през зимата, Избягване на прекомерна физическа активност"
"Безсъние, Загуба на апетит, Хрема",Сърдечна недостатъчност,"Избягване на тежка храна, Често миене на ръце"
"Болки в мускулите, Болки в ставите, Хрема",Депресия,"Почивка и хидратация, Здравословен сън"
"Замаяност, Повръщане, Отпадналост",Псориазис,"Почивка и хидратация, Редовни физически упражнения"
"Повръщане, Настинка, Сърцебиене",Сърдечна недостатъчност,"Почивка и хидратация, Поддържане на нормално тегло"
"Високо кръвно налягане, Болки в ставите, Кожен обрив",Псориазис,"Избягване на тежка храна, Приемане на лекарства по предписание"
"Замаяност, Високо кръвно налягане, Повръщане",Менингит,"Приемане на витамини, Добро обличане през зимата"
"Задух, Замаяност, Високо кръвно налягане",Хепатит,"Избягване на прекомерна употреба на алкохол, Здравословен сън"
"Болки в ставите, Стомашни болки, Болки в мускулите",Псориазис,"Спиране на тютюнопушенето, Приемане на лекарства по предписание"
"Болка в гърлото, Хрема, Треска",Астма,"Избягване на алергени, Избягване на прекомерна употреба на алкохол"
"Стомашни болки, Настинка, Главоболие",Астма,"Избягване на контакт със заразени лица, Почивка и хидратация"
"Болки в мускулите, Болка в гърлото, Загуба на апетит",Инфаркт,"Спиране на тютюнопушенето, Редовни прегледи при лекар"
"Болка в гърлото, Повръщане, Треска",Синдром на раздразнените черва,"Приемане на лекарства по предписание, Здравословен сън"
"Задух, Затруднено преглъщане, Стомашни болки",Депресия,"Поддържане на нормално тегло, Редовни физически упражнения"
"Болка в гърлото, Треска, Диария",Астма,"Поддържане на нормално тегло, Избягване на прекомерна употреба на алкохол"
"Кожен обрив, Затруднено преглъщане, Безсъние",Астма,"Избягване на контакт със заразени лица, Редовни прегледи при лекар"
"Замаяност, Треска, Повръщане",Грип,"Приемане на лекарства по предписание, Поддържане на нормално тегло"
"Замаяност, Болки в ставите, Затруднено преглъщане",Настинка,"Редовни прегледи при лекар, Контрол на кръвната захар"
"Диария, Болки в мускулите, Повръщане",Инфаркт,"Избягване на алергени, Избягване на прекомерна физическа активност"
"Кашлица, Треска, Диария",Диабет,"Избягване на прекомерна физическа активност, Избягване на тежка храна"
"Стомашни болки, Треска, Високо кръвно налягане",Псориазис,"Контрол на кръвната захар, Спиране на тютюнопушенето"
"Кожен обрив, Затруднено преглъщане, Задух",Анемия,"Ваксинация, Избягване на алергени"
"Високо кръвно налягане, Замаяност, Кашлица",Артрит,"Спиране на тютюнопушенето, Здравословна диета"
"Треска, Болки в мускулите, Безсъние",Хранително отравяне,"Приемане на лекарства по предписание, Поддържане на нормално тегло"
"Диария, Високо кръвно налягане, Настинка",Псориазис,"Редовни физически упражнения, Редовни прегледи при лекар"
"Сърцебиене, Загуба на апетит, Диария",Диабет,"Избягване на стрес, Почивка и хидратация"
"Безсъние, Болка в гърлото, Болки в мускулите",Инфаркт,"Приемане на лекарства по предписание, Избягване на тежка храна"
"Стомашни болки, Повръщане, Болки в мускулите",Анемия,"Избягване на стрес, Редовни прегледи при лекар"
"Задух, Диария, Кожен обрив",Пневмония,"Ваксинация, Почивка и хидратация"
"Повръщане, Болки в ставите, Настинка",Пневмония,"Поддържане на нормално тегло, Често миене на ръце"
"Главоболие, Отпадналост, Болка в гърлото",Артрит,"Избягване на стрес, Избягване на контакт със заразени лица"
"Замаяност, Повръщане, Високо кръвно налягане",Астма,"Избягване на тежка храна, Избягване на стрес"
"Треска, Болки в ставите, Настинка",Пневмония,"Избягване на тежка храна, Почивка и хидратация"
"Замаяност, Затруднено преглъщане, Сърцебиене",Бронхит,"Приемане на лекарства по предписание, Здравословна диета"
"Болки в мускулите, Високо кръвно налягане, Кашлица",Хепатит,"Избягване на алергени, Често миене на ръце"
"Загуба на апетит, Затруднено преглъщане, Високо кръвно налягане",Настинка,"Редовни прегледи при лекар, Здравословна диета"
"Болки в ставите, Загуба на апетит, Сърцебиене",Инфаркт,"Избягване на контакт със заразени лица, Редовно проветряване на помещенията"
"Задух, Отпадналост, Болки в мускулите",Мигрена,"Избягване на стрес, Почивка и хидратация"
"Кашлица, Болка в гърлото, Замаяност",Бронхит,"Контрол на кръвната захар, Здравословен сън"
"Стомашни болки, Сърцебиене, Треска",Алергия,"Добро обличане през зимата, Почивка и хидратация"
"Затруднено преглъщане, Отпадналост, Болки в мускулите",Депресия,"Редовни физически упражнения, Почивка и хидратация"
"Болки в ставите, Кожен обрив, Затруднено преглъщане",Депресия,"Контрол на кръвната захар, Редовни прегледи при лекар"
"Болка в гърлото, Настинка, Затруднено преглъщане",Синдром на раздразнените черва,"Избягване на стрес, Редовни физически упражнения"
"Хрема, Повръщане, Болки в ставите",Анемия,"Избягване на алергени, Спиране на тютюнопушенето"
"Затруднено преглъщане, Настинка, Загуба на апетит",Алергия,"Редовни физически упражнения, Здравословна диета"
"Замаяност, Повръщане, Треска",Синдром на раздразнените черва,"Добро обличане през зимата, Избягване на стрес"
"Болка в гърлото, Кожен обрив, Главоболие",Диабет,"Редовни физически упражнения, Добро обличане през зимата"
"Повръщане, Настинка, Високо кръвно налягане",Гастрит,"Добро обличане през зимата, Избягване на алергени"
"Главоболие, Болка в гърлото, Диария",Пневмония,"Често миене на ръце, Здравословен сън"
"Задух, Болка в гърлото, Сърцебиене",Депресия,"Приемане на лекарства по предписание, Поддържане на нормално тегло"
"Стомашни болки, Болки в мускулите, Отпадналост",Алергия,"Редовно проветряване на помещенията, Често миене на ръце"
"Диария, Болки в мускулите, Кашлица",Алергия,"Спиране на тютюнопушенето, Добро обличане през зимата"
"Високо кръвно налягане, Треска, Стомашни болки",Настинка,"Приемане на витамини, Здравословна диета"
"Високо кръвно налягане, Загуба на апетит, Сърцебиене",Артрит,"Избягване на стрес, Редовни прегледи при лекар"
"Главоболие, Болки в ставите, Замаяност",Менингит,"Редовно проветряване на помещенията, Избягване на прекомерна употреба на алкохол"
"Болка в гърлото, Диария, Кашлица",Пневмония,"Редовни прегледи при лекар, Избягване на прекомерна употреба на алкохол"
"Диария, Стомашни болки, Треска",Синдром на раздразнените черва,"Избягване на контакт със заразени лица, Редовно проветряване на помещенията"
"Диария, Загуба на апетит, Болки в мускулите",Хранително отравяне,"Избягване на алергени, Приемане на лекарства по предписание"
"Болка в гърлото, Главоболие, Повръщане",Сърдечна недостатъчност,"Здравословна диета, Редовни физически упражнения"
"Загуба на апетит, Хрема, Задух",Хранително отравяне,"Избягване на стрес, Редовни физически упражнения"
"Диария, Кашлица, Високо кръвно налягане",Гастрит,"Редовни прегледи при лекар, Приемане на лекарства по предписание"
"Замаяност, Затруднено преглъщане, Сърцебиене",Астма,"Избягване на алергени, Почивка и хидратация"
"Сърцебиене, Повръщане, Болка в гърлото",Инфаркт,"Почивка и хидратация, Редовни физически упражнения"
"Главоболие, Отпадналост, Затруднено преглъщане",Синдром на раздразнените черва,"Здравословен сън, Избягване на прекомерна физическа активност"
"Отпадналост, Главоболие, Диария",Анемия,"Поддържане на нормално тегло, Редовно проветряване на помещенията"
"Стомашни болки, Болки в ставите, Безсъние",Артрит,"Избягване на тежка храна, Спиране на тютюнопушенето"
"Диария, Сърцебиене, Кожен обрив",Анемия,"Избягване на тежка храна, Поддържане на нормално тегло"
"Сърцебиене, Треска, Кожен обрив",Гастрит,"Редовни прегледи при лекар, Здравословна диета"
"Болки в мускулите, Замаяност, Треска",Мигрена,"Приемане на витамини, Редовни прегледи при лекар"
"Безсъние, Загуба на апетит, Замаяност",Астма,"Избягване на контакт със заразени лица, Поддържане на нормално тегло"
"Кожен обрив, Замаяност, Треска",Бронхит,"Избягване на прекомерна физическа активност, Редовни прегледи при лекар"
"Затруднено преглъщане, Стомашни болки, Кожен обрив",Анемия,"Контрол на кръвната захар, Често миене на ръце"
"Сърцебиене, Задух, Отпадналост",Инфаркт,"Ваксинация, Здравословен сън"
"Загуба на апетит, Диария, Треска",Мигрена,"Избягване на стрес, Избягване на прекомерна физическа активност"
"Хрема, Затруднено преглъщане, Задух",Депресия,"Избягване на стрес, Почивка и хидратация"
"Болка в гърлото, Болки в ставите, Диария",Мигрена,"Избягване на прекомерна употреба на алкохол, Контрол на кръвната захар"
"Повръщане, Отпадналост, Безсъние",Астма,"Избягване на стрес, Избягване на контакт със заразени лица"
"Замаяност, Кашлица, Високо кръвно налягане",Артрит,"Редовни прегледи при лекар, Често миене на ръце"
"Болки в ставите, Хрема, Болки в мускулите",Анемия,"Често миене на ръце, Избягване на стрес"
"Кожен обрив, Стомашни болки, Повръщане",Депресия,"Избягване на стрес, Избягване на контакт със заразени лица"
"Болки в ставите, Кожен обрив, Треска",Диабет,"Здравословна диета, Избягване на алергени"
"Задух, Болка в гърлото, Сърцебиене",Астма,"Избягване на контакт със заразени лица, Избягване на прекомерна физическа активност"
"Задух, Безсъние, Сърцебиене",Астма,"Редовни прегледи при лекар, Спиране на тютюнопушенето"
"Болка в гърлото, Повръщане, Затруднено преглъщане",Алергия,"Често миене на ръце, Избягване на алергени"
"Отпадналост, Кашлица, Болка в гърлото",Инфаркт,"Избягване на прекомерна употреба на алкохол, Приемане на витамини"
"Кашлица, Главоболие, Хрема",Диабет,"Спиране на тютюнопушенето, Редовни физически упражнения"
"Главоболие, Настинка, Болки в мускулите",Артрит,"Избягване на контакт със заразени лица, Често миене на ръце"
"Хрема, Болка в гърлото, Диария",Гастрит,"Приемане на витамини, Често миене на ръце"
"Загуба на апетит, Повръщане, Болка в гърлото",Синдром на раздразнените черва,"Избягване на прекомерна физическа активност, Ваксинация"
"Болки в мускулите, Замаяност, Главоболие",Хипертония,"Избягване на алергени, Редовни прегледи при лекар"
"Загуба на апетит, Стомашни болки, Диария",Менингит,"Спиране на тютюнопушенето, Често миене на ръце"
"Болки в мускулите, Високо кръвно налягане, Стомашни болки",Инфаркт,"Избягване на контакт със заразени лица, Редовни физически упражнения"
"Задух, Кашлица, Треска",Псориазис,"Избягване на контакт със заразени лица, Поддържане на нормално тегло"
"Треска, Стомашни болки, Загуба на апетит",Менингит,"Редовни физически упражнения, Избягване на прекомерна физическа активност"
"Отпадналост, Високо кръвно налягане, Настинка",Мигрена,"Здравословна диета, Приемане на витамини"
"Затруднено преглъщане, Главоболие, Болки в мускулите",Сърдечна недостатъчност,"Често миене на ръце, Спиране на тютюнопушенето"
"Кашлица, Загуба на апетит, Затруднено преглъщане",Псориазис,"Ваксинация, Избягване на алергени"
"Хрема, Затруднено преглъщане, Треска",Артрит,"Избягване на контакт със заразени лица, Редовни физически упражнения"
"Повръщане, Кожен обрив, Кашлица",Мигрена,"Здравословен сън, Избягване на стрес"
"Диария, Болки в ставите, Болка в гърлото",Алергия,"Избягване на прекомерна употреба на алкохол, Избягване на тежка храна"
"Замаяност, Диария, Треска",Синдром на раздразнените черва,"Приемане на лекарства по предписание, Избягване на стрес"
"Сърцебиене, Болки в мускулите, Хрема",Бронхит,"Почивка и хидратация, Редовни прегледи при лекар"
"Настинка, Болки в мускулите, Замаяност",Синдром на раздразнените черва,"Избягване на алергени, Почивка и хидратация"
"Болки в мускулите, Главоболие, Безсъние",Хипертония,"Редовни прегледи при лекар, Избягване на контакт със заразени лица"
"Болки в ставите, Задух, Повръщане",Инфаркт,"Редовни прегледи при лекар, Ваксинация"
"Кожен обрив, Сърцебиене, Хрема",Хранително отравяне,"Приемане на лекарства по предписание, Избягване на прекомерна физическа активност"
"Треска, Кожен обрив, Повръщане",Мигрена,"Ваксинация, Здравословна диета"
"Болка в гърлото, Настинка, Кожен обрив",Диабет,"Избягване на алергени, Приемане на витамини"
"Кашлица, Болки в ставите, Високо кръвно налягане",Хранително отравяне,"Спиране на тютюнопушенето, Поддържане на нормално тегло"
"Кожен обрив, Сърцебиене, Болки в ставите",Пневмония,"Контрол на кръвната захар, Почивка и хидратация"
"Загуба на апетит, Болки в мускулите, Болки в ставите",Артрит,"Приемане на витамини, Избягване на тежка храна"
"Задух, Кожен обрив, Диария",Псориазис,"Избягване на прекомерна физическа активност, Почивка и хидратация"
"Отпадналост, Главоболие, Треска",Пневмония,"Добро обличане през зимата, Контрол на кръвната захар"
"Стомашни болки, Кашлица, Болки в мускулите",Сърдечна недостатъчност,"Редовно проветряване на помещенията, Здравословна диета"
"Кожен обрив, Хрема, Задух",Менингит,"Избягване на тежка храна, Избягване на прекомерна физическа активност"
"Сърцебиене, Главоболие, Болки в мускулите",Псориазис,"Ваксинация, Приемане на витамини"
"Треска, Болка в гърлото, Стомашни болки",Пневмония,"Приемане на витамини, Избягване на прекомерна употреба на алкохол"
"Настинка, Безсъние, Главоболие",Настинка,"Редовно проветряване на помещенията, Приемане на лекарства по предписание"
"Треска, Повръщане, Хрема",Бронхит,"Често миене на ръце, Приемане на лекарства по предписание"
"Замаяност, Отпадналост, Кожен обрив",Анемия,"Редовни физически упражнения, Здравословен сън"
"Болка в гърлото, Задух, Замаяност",Депресия,"Избягване на прекомерна употреба на алкохол, Здравословен сън"
"Отпадналост, Замаяност, Кашлица",Астма,"Приемане на витамини, Спиране на тютюнопушенето"
"Главоболие, Отпадналост, Затруднено преглъщане",Псориазис,"Почивка и хидратация, Избягване на прекомерна физическа активност"
"Загуба на апетит, Болки в мускулите, Затруднено преглъщане",Хипертония,"Често миене на ръце, Редовно проветряване на помещенията"
"Болки в мускулите, Замаяност, Настинка",Менингит,"Добро обличане през зимата, Здравословен сън"
"Хрема, Болки в мускулите, Сърцебиене",Анемия,"Поддържане на нормално тегло, Редовни прегледи при лекар"
"Стомашни болки, Замаяност, Високо кръвно налягане",Депресия,"Контрол на кръвната захар, Здравословна диета"
"Високо кръвно налягане, Диария, Загуба на апетит",Хипертония,"Редовни прегледи при лекар, Почивка и хидратация"
"Диария, Главоболие, Кожен обрив",Алергия,"Редовни физически упражнения, Избягване на тежка храна"
"Кожен обрив, Главоболие, Треска",Инфаркт,"Приемане на витамини, Избягване на прекомерна употреба на алкохол"
"Кашлица, Замаяност, Сърцебиене",Мигрена,"Почивка и хидратация, Контрол на кръвната захар"
"Болки в ставите, Болки в мускулите, Главоболие",Алергия,"Избягване на алергени, Избягване на прекомерна физическа активност"
"Диария, Болки в ставите, Сърцебиене",Настинка,"Избягване на тежка храна, Избягване на контакт със заразени лица"
"Задух, Отпадналост, Болка в гърлото",Анемия,"Добро обличане през зимата, Здравословна диета"
"Болка в гърлото, Сърцебиене, Хрема",Сърдечна недостатъчност,"Приемане на витамини, Избягване на прекомерна физическа активност"
"Безсъние, Диария, Треска",Пневмония,"Избягване на алергени, Избягване на контакт със заразени лица"
"Затруднено преглъщане, Стомашни болки, Сърцебиене",Астма,"Приемане на витамини, Редовни физически упражнения"
"Загуба на апетит, Главоболие, Задух",Артрит,"Здравословна диета, Контрол на кръвната захар"
"Болки в ставите, Високо кръвно налягане, Болки в мускулите",Астма,"Редовно проветряване на помещенията, Здравословен сън"
"Кашлица, Стомашни болки, Безсъние",Анемия,"Контрол на кръвната захар, Здравословна диета"
"Настинка, Високо кръвно налягане, Треска",Бронхит,"Контрол на кръвната захар, Избягване на алергени"
"Главоболие, Загуба на апетит, Високо кръвно налягане",Псориазис,"Редовни физически упражнения, Спиране на тютюнопушенето"
"Безсъние, Кожен обрив, Стомашни болки",Бронхит,"Избягване на тежка храна, Редовно проветряване на помещенията"
"Стомашни болки, Кашлица, Задух",Алергия,"Здравословен сън, Избягване на контакт със заразени лица"
"Диария, Болка в гърлото, Хрема",Мигрена,"Избягване на контакт със заразени лица, Избягване на алергени"
"Диария, Главоболие, Замаяност",Астма,"Здравословен сън, Ваксинация"
"Болки в ставите, Сърцебиене, Кашлица",Бронхит,"Редовни физически упражнения, Здравословен сън"
"Болки в мускулите, Стомашни болки, Високо кръвно налягане",Мигрена,"Здравословен сън, Редовно проветряване на помещенията"
"Болка в гърлото, Кашлица, Повръщане",Гастрит,"Спиране на тютюнопушенето, Поддържане на нормално тегло"
"Стомашни болки, Настинка, Болка в гърлото",Артрит,"Приемане на лекарства по предписание, Здравословна диета"
"Безсъние, Кожен обрив, Хрема",Хипертония,"Приемане на лекарства по предписание, Избягване на стрес"
"Болки в мускулите, Сърцебиене, Болки в ставите",Пневмония,"Редовни прегледи при лекар, Поддържане на нормално тегло"
"Главоболие, Задух, Загуба на апетит",Мигрена,"Здравословна диета, Избягване на прекомерна физическа активност"
"Диария, Болка в гърлото, Високо кръвно налягане",Хранително отравяне,"Избягване на контакт със заразени лица, Избягване на прекомерна физическа активност"
"Кашлица, Отпадналост, Настинка",Астма,"Редовни физически упражнения, Спиране на тютюнопушенето"
"Хрема, Болка в гърлото, Безсъние",Псориазис,"Поддържане на нормално тегло, Редовно проветряване на помещенията"
"Затруднено преглъщане, Високо кръвно налягане, Треска",Сърдечна недостатъчност,"Почивка и хидратация, Приемане на витамини"
"Болка в гърлото, Загуба на апетит, Отпадналост",Анемия,"Редовни прегледи при лекар, Приемане на лекарства по предписание"
"Замаяност, Болка в гърлото, Сърцебиене",Менингит,"Редовно проветряване на помещенията, Здравословна диета"
"Повръщане, Замаяност, Кашлица",Сърдечна недостатъчност,"Редовни прегледи при лекар, Редовни физически упражнения"
"Замаяност, Главоболие, Затруднено преглъщане",Хипертония,"Редовно проветряване на помещенията, Почивка и хидратация"
"Кожен обрив, Загуба на апетит, Болки в ставите",Астма,"Приемане на витамини, Избягване на стрес"
"Безсъние, Болки в ставите, Затруднено преглъщане",Менингит,"Спиране на тютюнопушенето, Редовно проветряване на помещенията"
"Високо кръвно налягане, Задух, Сърцебиене",Сърдечна недостатъчност,"Добро обличане през зимата, Здравословен сън"
"Замаяност, Повръщане, Стомашни болки",Хепатит,"Избягване на стрес, Избягване на контакт със заразени лица"
"Хрема, Безсъние, Настинка",Хранително отравяне,"Избягване на прекомерна употреба на алкохол, Редовно проветряване на помещенията"
"Кожен обрив, Сърцебиене, Болки в мускулите",Сърдечна недостатъчност,"Приемане на витамини, Избягване на прекомерна употреба на алкохол"
"Болка в гърлото, Загуба на апетит, Болки в мускулите",Грип,"Спиране на тютюнопушенето, Приемане на витамини"
"Замаяност, Повръщане, Стомашни болки",Мигрена,"Често миене на ръце, Редовни прегледи при лекар"
"Отпадналост, Болки в ставите, Кашлица",Псориазис,"Редовни прегледи при лекар, Избягване на прекомерна физическа активност"
"Болки в мускулите, Диария, Загуба на апетит",Настинка,"Ваксинация, Приемане на лекарства по предписание"
"Сърцебиене, Замаяност, Болки в ставите",Псориазис,"Поддържане на нормално тегло, Редовни физически упражнения"
"Треска, Задух, Главоболие",Мигрена,"Здравословна диета, Избягване на контакт със заразени лица"
